frame,funding_weight,factor,sharpe
XS,0.5,AVOL,0.952
XS,0.5,Q,0.216
XS,0.5,RSJ,1.065
XS,0.5,OFI,0.503
XS,0.5,CPVm,1.087
XS,0.5,CPVv,0.23
XS,0.5,WRspread,
XS,0.5,TopChg,
XS,0.5,Quad,
XS,0.5,TKU,0.756
XS,0.5,TSKD,0.312
XS,0.5,MEAN,0.64
XS,0.0,AVOL,0.889
XS,0.0,Q,-0.372
XS,0.0,RSJ,0.782
XS,0.0,OFI,0.04
XS,0.0,CPVm,0.662
XS,0.0,CPVv,-0.134
XS,0.0,WRspread,
XS,0.0,TopChg,
XS,0.0,Quad,
XS,0.0,TKU,0.16
XS,0.0,TSKD,-0.149
XS,0.0,MEAN,0.235
TS,0.5,AVOL,0.491
TS,0.5,Q,1.08
TS,0.5,RSJ,0.85
TS,0.5,OFI,0.828
TS,0.5,CPVm,0.813
TS,0.5,CPVv,1.109
TS,0.5,WRspread,
TS,0.5,TopChg,
TS,0.5,Quad,
TS,0.5,TKU,0.944
TS,0.5,TSKD,0.829
TS,0.5,MEAN,0.868
TS,0.0,AVOL,0.174
TS,0.0,Q,0.614
TS,0.0,RSJ,0.212
TS,0.0,OFI,0.462
TS,0.0,CPVm,0.479
TS,0.0,CPVv,0.647
TS,0.0,WRspread,
TS,0.0,TopChg,
TS,0.0,Quad,
TS,0.0,TKU,0.61
TS,0.0,TSKD,0.396
TS,0.0,MEAN,0.449
