frame,factor,sharpe
XS,AVOL,0.952
XS,Q,0.216
XS,RSJ,1.065
XS,OFI,0.503
XS,CPVm,1.087
XS,CPVv,0.23
XS,WRspread,
XS,TopChg,
XS,Quad,
XS,TKU,0.756
XS,TSKD,0.312
XS,MEAN,0.64
XS_standardised,AVOL,0.734
XS_standardised,Q,0.921
XS_standardised,RSJ,0.776
XS_standardised,OFI,0.789
XS_standardised,CPVm,0.896
XS_standardised,CPVv,1.087
XS_standardised,WRspread,
XS_standardised,TopChg,
XS_standardised,Quad,
XS_standardised,TKU,0.779
XS_standardised,TSKD,0.913
XS_standardised,MEAN,0.862
TS,AVOL,0.491
TS,Q,1.08
TS,RSJ,0.85
TS,OFI,0.828
TS,CPVm,0.813
TS,CPVv,1.109
TS,WRspread,
TS,TopChg,
TS,Quad,
TS,TKU,0.944
TS,TSKD,0.829
TS,MEAN,0.868
