Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1778564493.333	    35.373	0	95579	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_3.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_3.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 3
2	:	1778564493.336	    36.304	0	95424	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_5.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_5.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 5
7	:	1778564493.353	    36.298	0	96064	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_40.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_40.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 40
3	:	1778564493.338	    36.329	0	95675	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_7.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_7.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 7
8	:	1778564493.358	    36.450	0	95914	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_50.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_50.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 50
6	:	1778564493.348	    36.460	0	95469	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_30.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_30.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 30
5	:	1778564493.344	    36.464	0	96228	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_21.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_21.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 21
4	:	1778564493.341	    36.474	0	95714	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_14.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_14.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 14
16	:	1778564529.851	    26.682	0	14351	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_5.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_5.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 5
9	:	1778564528.722	    27.984	0	92622	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_60.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_60.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 60
15	:	1778564529.833	    27.989	0	14389	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_3.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_3.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 3
10	:	1778564529.651	    28.536	0	93239	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_80.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_80.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 80
11	:	1778564529.668	    28.638	0	92775	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_100.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_100.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 100
14	:	1778564529.823	    28.713	0	92787	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_220.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_220.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 220
13	:	1778564529.816	    28.776	0	92928	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_150.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_150.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 150
12	:	1778564529.685	    28.936	0	92972	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_120.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.5_120.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.5 --days_momentum 120
17	:	1778564556.538	    25.222	0	13690	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_7.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_7.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 7
18	:	1778564556.709	    26.233	0	14129	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_14.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_14.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 14
19	:	1778564557.833	    25.896	0	14084	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_21.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_21.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 21
20	:	1778564558.192	    26.355	0	14169	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_30.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_30.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 30
24	:	1778564558.626	    26.328	0	14031	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_80.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_80.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 80
