name,data,notebook,ts,parameters
fees,0.8153084016762234,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
ann_std,0.5593084038363454,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
mae,-0.12633592174373987,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
maxdd,-0.5977114742690754,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
sharpe,0.299496262499909,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
mfe,0.23195120347287818,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
mae_std,0.27251264266193365,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
cagr,0.21455873097447184,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
ann_return,0.023358538432517312,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
win_rate,0.6165967130676537,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
ir,-0.4094967663164791,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
sortino,0.9223916191345126,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
mfe_std,0.5830342663374101,momentum-research-backtest.ipynb,2026-05-12T14:30:34.853014,"{""days_holding"": ""7"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""30""}"
